prompt,chosen,rejected
What happens to Ranni the Witch's questline if the player kills Preceptor Seluvis?,"Please note, if the player was unable to tolerate his ""pleasant demeanor"" and has killed Preceptor Seluvis, Blaidd will be hostile to you, and cause Ranni's quest line to halt until the player seeks Absolution at the Church of Vows","Moreso, there have been cases where only talking to Sellen without talking to Blaidd afterwards also causes the festival to trigger. Please note, if the player was unable to tolerate his ""pleasant demeanor"" and has killed Preceptor Seluvis, Blaidd will be hostile to you, and cause Ranni's quest line to halt until the player seeks Absolution at the Church of Vows"
What happens to Rya when you give her the Tonic of Forgetfulness?,"When you reset the area, she is gone and has left Daedicar's Woe and Zorayas' Letter in her place. If you give her the Tonic of Forgetfulness, she simply goes to sleep. After Rykard is killed and the Manor's inhabitants have all left, she will return to her original location in the Manor. Exhaust her dialogue and reload the area to find Daedicar's Woe in her place","When you reset the area, she is gone and has left Daedicar's Woe and Zorayas' Letter in her place. If you give her the Tonic of Forgetfulness, she simply goes to sleep. After Rykard is killed and the Manor's inhabitants have all left, she will return to her original location in the Manor. Exhaust her dialogue and reload the area to find Daedicar's Woe in her place"
What happens to Sorcerer Rogier if you teleport into his location from a different Site of Grace?,"Rogier will only die if you teleport in from a different site of grace, as teleporting from the same grace will simply have him in a constant state of sleep. As long as the Site of Grace you are teleporting from is not the Roundtable's Grace, he will die as expected. Rogier dying will not prevent the Ranni questline from continuing","Rogier will only die if you teleport in from a different site of grace, as teleporting from the same grace will simply have him in a constant state of sleep. As long as the Site of Grace you are teleporting from is not the Roundtable's Grace, he will die as expected. Rogier dying will not prevent the Ranni questline from continuing"
What happens to Sorceress Sellen after interacting with Rennala?,"You will find that Sellen will have moved to the side of the room and transformed into a School of Graven Mages (beside of which can be found her Witch's Glintstone Crown ) and Rennala will have returned to her original position in the center of the room. Despite Sellen's ""condition,"" you can still purchase sorceries from her at any time by speaking with her","You will find that Sellen will have moved to the side of the room and transformed into a School of Graven Mages (beside of which can be found her Witch's Glintstone Crown ) and Rennala will have returned to her original position in the center of the room. Despite Sellen's ""condition,"" you can still purchase sorceries from her at any time by speaking with her"
What happens to Sorceress Sellen's location after completing a certain part of her questline?,"Sellen will remain where she stands in the Grand Library until you have completed the part of her quest line to find Master Lusat. Once that part of her quest line has been completed, reset the area","Sellen will remain where she stands in the Grand Library until you have completed the part of her quest line to find Master Lusat. Once that part of her quest line has been completed, reset the area"
What happens to charges from Rotten Winged Sword Insignia when using Euporia Vortex?,"The hits done from the beam of light do not add charges to Rotten Winged Sword Insignia or other similar effects, but any charges the user currently has does affect its damage. This beam can cause knockdown on humanoid targets, but only if the last hit of the beam connects with the target. The beam can also move along with the vortex","The hits done from the beam of light do not add charges to Rotten Winged Sword Insignia or other similar effects, but any charges the user currently has does affect its damage. This beam can cause knockdown on humanoid targets, but only if the last hit of the beam connects with the target. The beam can also move along with the vortex"
What happens to the Dung Eater's body if you leave the area or quit the game?,"However, should you leave the area or quit and reload, his body would disappear, preventing you from getting his armor set. If you chose this option the Dung Eeater's body will not be found in Seluvis's laboratory. If you don't see him as a puppet for purchase at first, buy one puppet and some spells from Seluvis then go out and find a few more Starlight Shards","However, should you leave the area or quit and reload, his body would disappear, preventing you from getting his armor set. If you chose this option the Dung Eeater's body will not be found in Seluvis's laboratory. If you don't see him as a puppet for purchase at first, buy one puppet and some spells from Seluvis then go out and find a few more Starlight Shards"
What happens to the Sword of Milos if the Tarnished is killed by the giant death crab before picking it up?,"if the Tarnished is killed by the giant death crab before picking it up) it can still be acquired by killing Dung Eater's corporeal body in the Sewer Gaol (where he will now be tied to a chair), he will not drop the sword if you complete his questline","if the Tarnished is killed by the giant death crab before picking it up) it can still be acquired by killing Dung Eater's corporeal body in the Sewer Gaol (where he will now be tied to a chair), he will not drop the sword if you complete his questline. If the sword is dropped and lost (i. e"
What happens to the effect of Mohg's Great Rune if the player does not use the Phantom Great Rune during their invasion?,"If the player does not use the Phantom Great Rune during their invasion, the effect of Mohg's Great Rune is essentially wasted, as the Phantom Great Runes disappear from the Player's inventory when returning to their world. The Great Rune effect still persists after a failed invasion, so subsequent invasions will still grant the Phantom Great Runes until the player dies in their own world","If the player does not use the Phantom Great Rune during their invasion, the effect of Mohg's Great Rune is essentially wasted, as the Phantom Great Runes disappear from the Player's inventory when returning to their world. The Great Rune effect still persists after a failed invasion, so subsequent invasions will still grant the Phantom Great Runes until the player dies in their own world"
What happens to the player's access to previous paths if they drain the Church District before picking up the Great Grave Glovewort?,"If the player drained the Church District before picking up the Great Glove Glovewort, the previous path will be inaccessible since the floating wooden platforms are gone. The item will have dropped down into a circular courtyard below where an Ulcerated Tree Spirit holding the Mantle of Thorns is waiting in ambush","If the player drained the Church District before picking up the Great Glove Glovewort, the previous path will be inaccessible since the floating wooden platforms are gone. The item will have dropped down into a circular courtyard below where an Ulcerated Tree Spirit holding the Mantle of Thorns is waiting in ambush"
What happens to the sending gate in the Deeproot Depths after discovering Mohgwyn Palace and Miquella's Haligtree?,"Any unclaimed rewards that you would have gotten from speaking to him after discovering Mohgwyn Palace and Miquella's Haligtree , or from defeating Mohgwyn, Lord of Blood and Malenia, Blade of Miquella , can be purchased at the Twin Maiden Husks in the Roundtable Hold. The sending gate in the Deeproot Depths that would normally transport you to the entrance to Leyndell becomes inactive","Any unclaimed rewards that you would have gotten from speaking to him after discovering Mohgwyn Palace and Miquella's Haligtree , or from defeating Mohgwyn, Lord of Blood and Malenia, Blade of Miquella , can be purchased at the Twin Maiden Husks in the Roundtable Hold. The sending gate in the Deeproot Depths that would normally transport you to the entrance to Leyndell becomes inactive"
What happens to your spellcasting ability immediately after using Miriam's Vanishing?,"You're able to start casting another spell during the last 16 I-frames (right when you reappear). If casting input is made before reappearing, it will not be queued for execution. NOTE: Direction is based on the input held before casting, not during it. If no direction is input, the caster will reappear in the same place. Curiously, it can not climb down terrain (e","You're able to start casting another spell during the last 16 I-frames (right when you reappear). If casting input is made before reappearing, it will not be queued for execution. NOTE: Direction is based on the input held before casting, not during it. If no direction is input, the caster will reappear in the same place. Curiously, it can not climb down terrain (e"
What happens when a Teardrop Scarab spots the player?,"Becomes larger than player and can pose some threat, however their behaviour remains unchanged. Escaping - When it spots a player, it will teleport a short distance away. Sneaking is an option, but bows are more effective. Explosive - Regular scarab, but their balls explodes after few seconds. Explosion is telegraphed, plus it does not happen if scarab dies due to gravity","Becomes larger than player and can pose some threat, however their behaviour remains unchanged. Escaping - When it spots a player, it will teleport a short distance away. Sneaking is an option, but bows are more effective. Explosive - Regular scarab, but their balls explodes after few seconds. Explosion is telegraphed, plus it does not happen if scarab dies due to gravity"
What happens when a player consumes Mohg's Great Rune?,"When consumed, the player plays the same animation as consuming a Rune Arc, generating a small red area-of-effect which buffs any monsters or bosses (like Night's Cavalry) in close proximity to the player with the Blessing of Blood. For the exact effects of the Blessing of Blood, see above. When invading, this is the only way to apply the Blessing of Blood to the monsters and bosses","When consumed, the player plays the same animation as consuming a Rune Arc, generating a small red area-of-effect which buffs any monsters or bosses (like Night's Cavalry) in close proximity to the player with the Blessing of Blood. For the exact effects of the Blessing of Blood, see above. When invading, this is the only way to apply the Blessing of Blood to the monsters and bosses"
What happens when using Enchanted Shot without locking-on or manually aiming?,"The arrow will curve and turn if necessary to hit the enemy. If this skill is used without locking-on and without manually aiming, the arrows tend to travel directly to the ground in front. Although the same animation is used for the skill Mighty Shot , this skill does not penetrate through shields","If this skill is used without locking-on and without manually aiming, the arrows tend to travel directly to the ground in front. NOTE: The arrow now travels faster, as of Patch 1. 07. Previously the projectile speed remained unchanged. Thanks to the faster projectile speed, this weapon skill now allows arrows to reach farther. If used without FP: Loses its tracking properties"
What happens when you lure the Banished Knight off the walkway?,"Then the Banished Knight will slowly walk towards the player, at which point it will fall to its death, hopefully leaving the extremely rare unaltered Banished Knight Armor on the ground. The player can walk off the edge of the end of the walkway to safely fall to ground level, then make their way back to the loot, which will be in the corner, behind a tombstone","Then the Banished Knight will slowly walk towards the player, at which point it will fall to its death, hopefully leaving the extremely rare unaltered Banished Knight Armor on the ground. The player can walk off the edge of the end of the walkway to safely fall to ground level, then make their way back to the loot, which will be in the corner, behind a tombstone"
What information can be found about Cookbooks within the Perfumer's Cookbook?,A record of crafting techniques left by a depraved perfumer. Contains perilous techniques no ordinary physician would attempt,A record of crafting techniques left by a depraved perfumer. Contains perilous techniques no ordinary physician would attempt
What information can be found in Cookbooks about dealing with decay?,Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular,Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular
What information can be found in the Cookbooks section of the Armorer's Cookbook?,Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular,Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular
What information can be found within Cookbooks?,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity
What information can be found within the Cookbooks?,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity
What information do you need to know about the Ulcerated Tree Spirit in Elden Ring?,This is an optional boss Closest Site of Grace: Road of Iniquity Multiplayer is allowed for this boss You can summon Spirit Ashes for this boss,This is an optional boss Closest Site of Grace: Stranded Graveyard Multiplayer is allowed for this boss You can summon Spirit Ashes for this boss
What information is included in the Patch Notes regarding bug fixes for Elden Ring?,"Fixed a bug that prevented an event with the NPC "" Alexander, Warrior Jar "" from progressing under certain circumstances. Fixed an issue where the item ""Sacred Flask"" was not restored after destroying a group of enemies under certain circumstances. Fixed a bug that under certain circumstances, after defeating the boss "" Starscourge Radahn ,"" the user could not move from the map to the grace",Fixed a bug that caused the player to become inoperable and die in certain locations. Fixed a bug that caused attack animations and hit detection to be rendered differently than expected in some maps. Fixed a bug in some maps that allowed players to reach unexpected locations with certain procedures. Fixed some texts. Several other performance improvements and bug fixes
What is Bayle The Dread in Elden Ring?,"This is an optional boss Closest Site of Grace: Jagged Peak Summit Multiplayer is allowed for this boss You can summon Spirit Ashes for this boss NPC Summons : Igon , if you have Igon's Furled Finger from his summon sign in the arena, to the left as you enter. He does not count towards the maximum number of summoned players. He has unique dialogue during the boss fight, although his equipment can be obtained whether or not he was summoned","Bayle the Dread is a Legend Boss in Elden Ring. Bayle is the forefather of the drakes, a sworn enemy of the ancient dragons, and the target of Igon's vengeance. He is found at the summit of the Jagged Peak. This is an optional boss as players don't need to defeat it to advance in Shadow of the Erdtree. See Bayle the Dread Lore"
What is Critical Damage in Elden Ring?,Critical Damage is a special type of damage stat that can be found on all Weapons. Critical Damage is a modifier used when calculating the damage dealt by critical attacks. Critical attacks are powerful moves that can be performed under specific conditions,"Critical Damage is one of the Damage Types in Elden Ring. It is a special damage type that is dealt in specific situations. Damage types are a major part of the calculation that determines how much damage is dealt in Combat and are affected by many factors including your equipment, skills, and temporary buffs"
What is Crystal Tears in Elden Ring?,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting conconction temporarily boosts one's poise,"A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction automatically heals one's HP in the moment before death. However, this effect only occurs once, and will expire after a certain duration"
What is Crystal Tears used for in Elden Ring?,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily boosts the power of one's magic attacks,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily raises all resistances and heals all status ailments
What is Fire's Deadly Sin in Elden Ring?,"Fire's Deadly Sin is an Incantation in Elden Ring. Fire's Deadly Sin spell covers both the player and the area with flames Incantation originating from a deeply ominous prophecy. Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency. The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin. ""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men. ""","Fire's Deadly Sin is an Incantation in Elden Ring. Fire's Deadly Sin spell covers both the player and the area with flames Incantation originating from a deeply ominous prophecy. Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency. The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin. ""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men. """
What is Iron Fist Alexander?,"A keepsake of the warrior jar Alexander. Found at the core of the dead flesh that once filled the great jar. The jars contain dregs inherited from those who came before. Thus are warriors passed from jar to jar, carrying dreams of greatness","Shard of the late Alexander, a shattered warrior jar. Greatly boosts the attack power of skills. Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of a red-haired champion, it would seem"
What is Lord of Blood's Favor used for in Elden Ring?,"Lord of Blood's Favor is a Key Item in Elden Ring. Lord of Blood's Favor is used to progress White Mask Varre 's questline. Key Items in Elden Ring include a wide variety of items found in specific locations or are given by a related NPCs which are used to unlock areas, quests, and to further progress the game's story. Before soaking: Pure white oath-cloth given by Varré","Lord of Blood's Favor can be used to progress White Mask Varre 's questline. Once obtained, players must soak it in the blood of a maiden: The closest will be a Maiden corpse in the Church of Inhibition , north east of Liurnia. Possible is also the corpse at Chapel of Anticipation if you've unlocked the second belfry at the The Four Belfries. You can also soak the cloth by killing Hyetta or Irina. Bring the cloth back to Varre to progress the questline"
What is Messmer's Assault in Elden Ring?,Default skill for the Spear of the Impaler,"Messmer's Assault is a Skill in Elden Ring. It was added with the Shadow of the Erdtree DLC. Messmer's Assault unleashes a succession of attacks using the spear which can be followed-up by two more attacks, and ends by thrusting the spear into the ground by causing countless spears to form in the surrounding area"
What is Radahn's Rain in Elden Ring?,Default skill for the Lion Greatbow,Radahn's Rain is a Skill in Elden Ring. Radahn's Rain is a unique skill to the Lion Greatbow. It allows the user to fire a flurry of arrows and let it rain onto foes within range
What is Remembrance in Elden Ring?,"Remembrance of the Elden Beast, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. It was the vassal beast of the Greater Will and living incarnation of the concept of Order","Remembrance of Lichdragon Fortissax, hewn into the Erdtree. The power of its namesake can be unlocked by the Finger Reader. Alternatively, it can be used to gain a great bounty of runes. After Godwyn the Golden became the Prince of Death, the ancient dragon fought long and hard against the Death within its companion. Alas, victory was never achieved and its only reward was corruption"
What is Rileigh the Idle associated with?,"Leather boots of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies","Black crossbow featuring a long stock. Used for sniping, it has a very long range. Weapon of Crepus, who served the Two Fingers from the shadows of the Roundtable as the head confessor"
What is Rya's location in relation to the lava pit with slugs that leads to a rocky bridge?,"Jump down to the lava pit with slugs that leads to a rocky bridge you need to jump off, and then climb up the path afterwards. Hop across the lava to find a window on the left, but be ready for the Iron Virgin waiting behind the corner","Jump down to the lava pit with slugs that leads to a rocky bridge you need to jump off, and then climb up the path afterwards. Hop across the lava to find a window on the left, but be ready for the Iron Virgin waiting behind the corner"
What is Starscourge Radahn's behavior when other summons are low on health compared to the player?,"Despite her tendency to prioritize healing, if other summons are low on health, she seems to mostly - if not completely - disregard the player's health. However, she does not seem to make any effort to actually move to the NPCs she's attempting to heal, making her more or less become a sitting duck for several seconds","Despite her tendency to prioritize healing, if other summons are low on health, she seems to mostly - if not completely - disregard the player's health. However, she does not seem to make any effort to actually move to the NPCs she's attempting to heal, making her more or less become a sitting duck for several seconds"
What is Tanith's role according to Elden Ring Lore?,"Now, she is the Lady of the Volcano Manor, recruiting Tarnished who were willing to rise against the Greater Will and become recusants. Those who proved themselves worthy were granted an audience by the Lord, where they were devoured and became part of the Volcano Manor family","Consort to Lord Rykard and adoptive mother of Rya. Tanith worked as a dancer in an unnamed foreign land until she caught Rykard's eye and became his consort. When he swore himself to blasphemy and became one with the God-Devouring Serpent, even after his men turned against him, even after she was given the Tonic of Forgetfulness as an out, she continued to stayed by his side"
What is a Crystal Tear that can be used to create a restorative concoction when mixed with the Flask of Wondrous Physick?,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. Can be mixed in the Flask of Wondrous Physick. The resulting concoction gradually restores one's stamina over time,A crystal tear formed slowly over the ages where the Erdtree's bounty falls to the ground. l Can be mixed in the Flask of Wondrous Physick. The resulting concoction gradually restores one's HP over time
What is a Living Jar?,"A fragment of a living jar, hardened after its death. Material used for crafting items. Such fragments command a high price due to the magical power locked within. This leaves the living jars unfortunate targets for poachers","A keepsake of the warrior jar Alexander. Found at the core of the dead flesh that once filled the great jar. The jars contain dregs inherited from those who came before. Thus are warriors passed from jar to jar, carrying dreams of greatness"
"What is a crystal tear that forms slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems?","A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction temporarily restores HP upon landing attacks","A crystal tear formed slowly over the ages, where the scattered sap of the Scadutree pools deep within the furnace golems. Can be mixed in the Flask of Wondrous Physick. The resulting concoction gradually restores the HP of one's allies over time. Has no effect on the imbiber"
"What is a key aspect of Elden Ring's Lore regarding Ranni, Rennalla, Caria, and the Stars?","Marika ""created"" Melina and gave her the mission to burn down the Erdtree. Melina got lost and forgot about her mission, wandering around the Lands Between in search for her purpose. Me, I'm searching for my purpose given to me by my mother inside the Erdtree long ago, for the reason that I yet live, burned and bodyless","Marika ""created"" Melina and gave her the mission to burn down the Erdtree. Melina got lost and forgot about her mission, wandering around the Lands Between in search for her purpose. Me, I'm searching for my purpose given to me by my mother inside the Erdtree long ago, for the reason that I yet live, burned and bodyless"
"What is a key aspect of the Elden Ring Crucible Knight Build that involves using Golden Vow and Flame, Grant Me Strength to buff damage?","The charged version of this weapon skill has HUGE stagger potential and usually two casts of this will drop a Boss if they aren't dead by then. Golden Vow and Flame, Grant Me Strength are used to buff your damage with your attacks, weapon skill and Spells since they all deal physical damage or fire damage","The charged version of this weapon skill has HUGE stagger potential and usually two casts of this will drop a Boss if they aren't dead by then. Golden Vow and Flame, Grant Me Strength are used to buff your damage with your attacks, weapon skill and Spells since they all deal physical damage or fire damage"
What is a key benefit of using Mohg's Great Rune even when no blood-loss is present?,"But even if no blood-loss is present, it can be very useful for giving summons the ability of healing the Host for every enemy they kill, aiding the survivability of the Host. This is a strong buff given the player has the chance to defeat many monsters in-between bosses, and most of the time Spirits are available for summon is to fight big groups of enemies","But even if no blood-loss is present, it can be very useful for giving summons the ability of healing the Host for every enemy they kill, aiding the survivability of the Host. This is a strong buff given the player has the chance to defeat many monsters in-between bosses, and most of the time Spirits are available for summon is to fight big groups of enemies"
"What is a key strategy for dealing with Mohg, Lord of Blood during Phase 1?","Throughout Phase 1, Mohg applies up to three stacks of Blood Curses on the player (Tres/Duo/Unus). Each time he applies a stack he always swings his trident to his right hand side, and players should take advantage of this by staying at Mohg's left side and dealing as much damage as possible","When taking Phase 1 Mohg, you will eventually run into the ends of the arena and be forced to content with close-mid range, which is going to be met with either Mohg's horizontal sweeps, the arc of Bloodflame, or an overhead slam. In either way, try to avoid backing into the corner and back into getting distance"
"What is a key strategy for interrupting Rykard's Rancorcall attack during the fight against Rykard, Lord of Blasphemy?","This stun occurs regardless of poise damage, and provides an opening for casting/combo attacks. Use the Great-Serpent Hunt skill in the 2nd phase to interrupt Rykard's Rancorcall (the one that releases dozens of homing skulls). This will stagger him and prevent the rancor skulls being released. Carian Filigreed Crest can help by lowering the FP consumption of skill","This stun occurs regardless of poise damage, and provides an opening for casting/combo attacks. Use the Great-Serpent Hunt skill in the 2nd phase to interrupt Rykard's Rancorcall (the one that releases dozens of homing skulls). This will stagger him and prevent the rancor skulls being released. Carian Filigreed Crest can help by lowering the FP consumption of skill"
What is a key strategy for using the Iron Cleaver effectively in combat?,"Immediately charging the heavy attack coming out of a dodge roll will allow you to aggressively counterattack against enemies that might have otherwise moved out of range. An offhand greatshield can help offset some of the weaknesses of this weapon, leveraging the fast and powerful guard counter that Axe-type weapons have","Charging the attack will cause you to run a very significant distance , offsetting this weapon's otherwise weak range and allowing for some aggressive offense. Combining the charged attack with high poise armor (at least 51) will allow you to shake off the attacks of quicker enemies while you are running toward them"
"What is a key strategy when facing Esgar, Priest of Blood in combat?",Esgar is a relatively simple boss that relies heavily on the bleed mechanic applied by both himself and his dogs. It is imperative that you do not let this effect build up as the blood loss triggered can one-shot players even at higher levels. Consider using a summon to distract either the boss or one of the dogs for an easier time,"You should aim for the boss only after taking care of his canine companions, as they are much quicker and also inflict bleed. The dogs do not take too much to kill but getting hit by them can prove dangerous due to the bleed. Esgar himself will mostly try to close the distance with dodge rolls and jump attacks"
What is a notable limitation of using Starscourge Radahn as a summon during the fight against him?,"When an ally needs healing, she will occasionally cast Great Heal. Unfortunately, she seems to only do so if player is very close by to the boss, and will opt to chase the player down rather than the boss, unlike other summons. This can make her seem useless for ranged players, as you'll generally be staying away from Radahn so he doesn't smite you between NPC deaths and re-summons","When an ally needs healing, she will occasionally cast Great Heal. Unfortunately, she seems to only do so if player is very close by to the boss, and will opt to chase the player down rather than the boss, unlike other summons. This can make her seem useless for ranged players, as you'll generally be staying away from Radahn so he doesn't smite you between NPC deaths and re-summons"
What is a part of the Sage Set in Elden Ring?,Sage Hood is a piece of the Sage Set. The rest of the set is composed of the Sage Robe and Sage Trousers,Sage Robe is a piece of the Sage Set. The rest of the set is composed of the Sage Hood and Sage Trousers
What is a possible way to boost intelligence for Brother Corhyn's quest?,"Alternatively, you can use a combination of intelligence-boosting equipment and effects: (Helm) Haima Glintstone Crown (+2 INT) (Helm) Hierodas Glintstone Crown (+2 INT) (Helm) Imp Head (Cat) (+2 INT) (Helm) Karolos Glintstone Crown (+3 INT) (Helm) Olivinus Glintstone Crown (+3 INT) (Helm) Queen's Crescent Crown (+3 INT) (Helm) Witch's Glintstone Crown (+3 INT) (Helm) Twinsage Glintstone Crown (+6 INT) (Talisman) Marika's Scarseal (+3 INT) (Talisman) Marika's Soreseal (+5 INT) (Talisman) Stargazer Heirloom (+5 INT) (Great Rune) Godrick's Great Rune (+5 INT) - requires consuming a Rune Arc to activate the buff, after which it will last until death (Weapon) Grafted Blade Greatsword (+5 INT) - Using the special skill boosts all stats by 5","Alternatively, you can use a combination of intelligence-boosting equipment and effects: (Helm) Haima Glintstone Crown (+2 INT) (Helm) Hierodas Glintstone Crown (+2 INT) (Helm) Imp Head (Cat) (+2 INT) (Helm) Karolos Glintstone Crown (+3 INT) (Helm) Olivinus Glintstone Crown (+3 INT) (Helm) Queen's Crescent Crown (+3 INT) (Helm) Witch's Glintstone Crown (+3 INT) (Helm) Twinsage Glintstone Crown (+6 INT) (Talisman) Marika's Scarseal (+3 INT) (Talisman) Marika's Soreseal (+5 INT) (Talisman) Stargazer Heirloom (+5 INT) (Great Rune) Godrick's Great Rune (+5 INT) - requires consuming a Rune Arc to activate the buff, after which it will last until death (Weapon) Grafted Blade Greatsword (+5 INT) - Using the special skill boosts all stats by 5"
What is a quick method for dispatching Duelists near The Great-Jar?,"If you don't care to fight them much at all then a very quick method of dispatching the Duelists is to, once you've summoned one, immediately run south and slightly west, making a beeline for the Minor Erdtree across the way until you reach the fog barrier that appears. There is a section of rock where the barrier meets the cliffs; this is where you want to fight","If you don't care to fight them much at all then a very quick method of dispatching the Duelists is to, once you've summoned one, immediately run south and slightly west, making a beeline for the Minor Erdtree across the way until you reach the fog barrier that appears. There is a section of rock where the barrier meets the cliffs; this is where you want to fight"
What is a recommended approach when facing the Tree Sentinel in melee combat?,"Stay as close as possible, keep your shield up whenever possible, and poke with thrusting attacks. You'll still get hit sometimes which will drain your stamina, but the gaps between its attacks tend to be long enough for you to recharge your stamina. Only lower your shield in order to close distance","In and Out: Wait for Tree Sentinel to finish an attack and get in a quick hit or two before rolling away to avoid the follow-up. Allow it to approach you again and repeat. A good shield can help buy you time to escape, especially since many of its attacks have substantially different timings so learning how to dodge them all is challenging"
"What is a recommended strategy for dealing with Mohg, Lord of Blood's physical attacks?","Carian Retaliation, both the Ash of War and the spell itself, are not recommended unless you can consistently parry some of his physical attacks with the Ash of War. However, using Cuckoo Glintstones and Glintstone Scraps and then using Carian Retaliation on the created projectiles does produce effective results","Carian Retaliation, both the Ash of War and the spell itself, are not recommended unless you can consistently parry some of his physical attacks with the Ash of War. However, using Cuckoo Glintstones and Glintstone Scraps and then using Carian Retaliation on the created projectiles does produce effective results"
What is a recommended strategy for defeating Glintstone Dragon Adula?,"The Best Tips for Glintstone Dragon Adula: Adula has very high Magic resistance, so Intelligence builds should use spells like Rock Sling that deal physical damage. Meteorite of Astel with Cerulean Hidden Tear can easily trivialize the fight by raining meteorites that deal physical damage. Wear armor with high Magic and Physical resistance, like the Banished Knight Set",Mist Opportunity: Stand inside the cathedral and use Night Maiden's Mist. Stand in the between the entrance and the nearby Site of Grace and its breath attack won't be able to hit you. Sip some tea while your favorite true damage sorcery does all the work
What is a recommended strategy for defeating the Black Blade Kindred?,"The Best Tips for Black Blade Kindred: Use the Stone of Gurranq spell, awarded by giving Gurranq his 6th Deathroot. This spell comes out decently fast, deals good amounts of damage, and can be used in succession. It also usually aims for the Kindred's head and can even break its poise while doing so. Lightning Spear and Frenzied Burst can work well as ranged offensive spells","For Intelligence players, Glintstone Cometshard or even just Great Glintstone Shard can work wonders. If you have enough set-up, casting Comet Azur can melt the Kindred although the boss can easily avoid it. Suggested weapons: 2 Great Omenkiller Cleavers with Strength/Occult affinity and infused with Cragblade Ash of War"
What is a recommended strategy for defeating the Fire Giant?,"The Best Tips for Fire Giant: Use the Black Knife Tiche or Mimic Tear Ashes Summons. Avoid low health group summons like the wolves, as he can cleave them down with ease Alternatively, summon Alexander as his attacks are very powerful in terms of breaking Giant's poise","Use the Rotten Breath/ Ekzykes's Decay Incantation Bring ?? Item Fire giant is resistant to bleed but not immune, making weapons that inflict bleed effective - especially with Giant large healthbar"
What is a recommended strategy for defeating the Godskin Noble?,"The Best Tips for Godskin Noble: Use sleep pots to put the boss to sleep. Usually one is enough and will allow you to get multiple hits in before it wakes up. Repeat as needed. Alternatively, sleep arrows are very easy to craft at the point of game when players meet Noble for first time","If you're able to make it back to the entrance, you can go to one side and when he attempts to roll up the stairs he will angle over the guard rail and fall to his death. For Incantation users, best is to inflict one of Status Effects at the start and then attack Noble with either Lightning Spear or Swarm of Flies"
What is a safe method for dispatching Blaidd during Ranni's Questline?,"If he does detect you, you can just retreat inside the tower and ride the elevator. He will eventually reset after some time. Another way to safely dispatch him is to use Giantsflame Take Thee from the ledge atop Ranni's Rise. Blaidd has no way to reach you and simply paces out front while doing a poor job of dodging the fireballs","If he does detect you, you can just retreat inside the tower and ride the elevator. He will eventually reset after some time. Another way to safely dispatch him is to use Giantsflame Take Thee from the ledge atop Ranni's Rise. Blaidd has no way to reach you and simply paces out front while doing a poor job of dodging the fireballs"
What is a strategic use of Flame Spit in Elden Ring?,You can also shoot at the floor in front of you to catch players during jump attacks or at the end of their roll. The heavy arc of the projectile can sometimes be used in some situations to indirectly attack targets over obstacles,You can also shoot at the floor in front of you to catch players during jump attacks or at the end of their roll. The heavy arc of the projectile can sometimes be used in some situations to indirectly attack targets over obstacles
